accsym,syn,sym,taxon
ACNO7,ACSA4,ACSA4,Acaena sanguisorbae
ACALY,,ACALY,Acalypha
ACAL2,,ACAL2,Acalypha alopecuroidea
ACAM2,,ACAM2,Acalypha amentacea
ACAMW,,ACAMW,Acalypha amentacea ssp. wilkesiana
ACWI,ACAMW,ACAMW,Acalypha amentacea ssp. wilkesiana
ACAMH,,ACAMH,Acalypha amentacea var. heterotricha
ACAMP2,,ACAMP2,Acalypha amentacea var. palauensis
ACAL2,ACAR17,ACAR17,Acalypha aristata
ACAR16,ACAR19,ACAR19,Acalypha aristata
ACAR16,,ACAR16,Acalypha arvensis
ACAU6,,ACAU6,Acalypha australis
ACBE2,,ACBE2,Acalypha berteriana
ACBI3,,ACBI3,Acalypha bisetosa
ACCA3,,ACCA3,Acalypha californica
ACOS,ACCA8,ACCA8,Acalypha caroliniana
ACCH2,,ACCH2,Acalypha chamaedryfolia
ACDE4,,ACDE4,Acalypha deamii
ACGR2,,ACGR2,Acalypha gracilens
ACMO4,ACGRM2,ACGRM2,Acalypha gracilens ssp. monococca
ACGR2,ACGRD,ACGRD,Acalypha gracilens var. delzii
ACGR2,ACGRF,ACGRF,Acalypha gracilens var. fraseri
ACMO4,ACGRM,ACGRM,Acalypha gracilens var. monococca
ACMO,ACHE,ACHE,Acalypha hederacea
ACHI2,,ACHI2,Acalypha hispida
ACIN12,,ACIN12,Acalypha indica
ACPO,ACIN,ACIN,Acalypha indica
ACME7,ACINM,ACINM,Acalypha indica var. mexicana
ACLA9,,ACLA9,Acalypha lanceolata
ACPH3,ACLI,ACLI,Acalypha lindheimeri
ACPH3,ACLIM,ACLIM,Acalypha lindheimeri var. major
ACME7,,ACME7,Acalypha mexicana
ACMO4,,ACMO4,Acalypha monococca
ACMO,,ACMO,Acalypha monostachya
ACNE,,ACNE,Acalypha neomexicana
ACOS,,ACOS,Acalypha ostryifolia
ACPH3,,ACPH3,Acalypha phleoides
ACPO,,ACPO,Acalypha poiretii
ACPO4,,ACPO4,Acalypha portoricensis
ACCA3,ACPR,ACPR,Acalypha pringlei
ACRA,,ACRA,Acalypha radians
ACRH,,ACRH,Acalypha rhomboidea
ACDE4,ACRHD,ACRHD,Acalypha rhomboidea var. deamii
ACSE,,ACSE,Acalypha setosa
ACVI,,ACVI,Acalypha virginica
ACDE4,ACVID,ACVID,Acalypha virginica var. deamii
ACGR2,ACVIG,ACVIG,Acalypha virginica var. gracilens
ACMO4,ACVIM,ACVIM,Acalypha virginica var. monococca
ACRH,ACVIR,ACVIR,Acalypha virginica var. rhomboidea
ACWI,,ACWI,Acalypha wilkesiana
ERSE2,ACSE5,ACSE5,Acamptoclados sessilispicus
ACAMP,,ACAMP,Acamptopappus
ACSH,,ACSH,Acamptopappus shockleyi
ACSP,,ACSP,Acamptopappus sphaerocephalus
ACSPH,,ACSPH,Acamptopappus sphaerocephalus var. hirtellus
ACSPS2,,ACSPS2,Acamptopappus sphaerocephalus var. sphaerocephalus
ACANT6,,ACANT6,Acanthocereus
ACTE4,ACFL3,ACFL3,Acanthocereus floridanus
ACTE4,ACPE5,ACPE5,Acanthocereus pentagonus
ACTE4,,ACTE4,Acanthocereus tetragonus
AMAC,ACWR6,ACWR6,Acanthochiton wrightii
WICA4,ACCA22,ACCA22,Acanthocladium carlottae
CHCO6,ACCO6,ACCO6,Acanthogonum corrugatum
CHPOP5,ACPO6,ACPO6,Acanthogonum polygonoides
CHPOL,ACPOL,ACPOL,Acanthogonum polygonoides var. longispinum
CHRI,ACRI2,ACRI2,Acanthogonum rigidum
ACANT2,,ACANT2,Acanthomintha
ACDU2,,ACDU2,Acanthomintha duttonii
ACIL,,ACIL,Acanthomintha ilicifolia
ACLA2,,ACLA2,Acanthomintha lanceolata
ACOB,,ACOB,Acanthomintha obovata
ACOBC,,ACOBC,Acanthomintha obovata ssp. cordata
ACDU2,ACOBD,ACOBD,Acanthomintha obovata ssp. duttonii
ACOBO,,ACOBO,Acanthomintha obovata ssp. obovata
ELSE5,ACSE8,ACSE8,Acanthopanax senticosus
ELPE6,ACSI2,ACSI2,Acanthopanax sieboldianus
ACANT3,,ACANT3,Acanthospermum
ACAU2,,ACAU2,Acanthospermum australe
ACHI,,ACHI,Acanthospermum hispidum
ACHU,,ACHU,Acanthospermum humile
ACAU2,ACXA,ACXA,Acanthospermum xanthioides
XASP2,ACSP5,ACSP5,Acanthoxanthium spinosum
ACANT7,,ACANT7,Acanthus
ACEB3,,ACEB3,Acanthus ebracteatus
ACEB3,ACILE,ACILE,Acanthus ilicifolius var. ebracteatus
ACMO8,,ACMO8,Acanthus mollis
ACPO10,,ACPO10,Acanthus polystachyus
ACPOP,,ACPOP,Acanthus polystachyus var. pseudopubescens
ACPOP,ACPU4,ACPU4,Acanthus pubescens
ACSP7,,ACSP7,Acanthus spinosus
ACSY,,ACSY,Acanthus syriacus
ACARO2,,ACARO2,Acarospora
ACAE,,ACAE,Acarospora aeruginosa
ACSC5,ACAL14,ACAL14,Acarospora albida
ACAL13,,ACAL13,Acarospora albomarginata
ACSC5,ACAM6,ACAM6,Acarospora amabilis
ACAM5,,ACAM5,Acarospora americana
ACAM7,,ACAM7,Acarospora amphibola
ACAP,,ACAP,Acarospora applanata
ACAR8,,ACAR8,Acarospora arenacea
ACAR9,,ACAR9,Acarospora arenosa
ACAS3,,ACAS3,Acarospora asahinae
ACAS4,,ACAS4,Acarospora asperata
ACBA4,,ACBA4,Acarospora badiofusca
ACSC5,ACBE5,ACBE5,Acarospora bella
ACBA4,ACBO2,ACBO2,Acarospora boulderensis
ACBU2,,ACBU2,Acarospora bullata
ACCA14,,ACCA14,Acarospora caesiofusca
ACCA15,,ACCA15,Acarospora californica
ACCA16,,ACCA16,Acarospora canadensis
ACCA17,,ACCA17,Acarospora carnegiei
ACFU2,ACCA19,ACCA19,Acarospora cartilaginea
ACCE,,ACCE,Acarospora cervina
PLCH4,ACCH60,ACCH60,Acarospora chlorophana
ACSC5,ACCH4,ACCH4,Acarospora chrysops
ACCI2,,ACCI2,Acarospora cinereoalba
ACCI4,,ACCI4,Acarospora citrina
ACCL6,,ACCL6,Acarospora clauzadeana
ACCO10,,ACCO10,Acarospora coloradiana
ACCO11,,ACCO11,Acarospora complanata
ACSC5,ACCO13,ACCO13,Acarospora contigua
ACDE9,,ACDE9,Acarospora desolata
ACDI4,,ACDI4,Acarospora dispersa
ACSC5,ACDI5,ACDI5,Acarospora dissipata
ACEL2,,ACEL2,Acarospora elevata
ACSC5,ACEP,ACEP,Acarospora epilutescens
PLCH4,ACER3,ACER3,Acarospora erythrophora
ACSC5,ACEV,ACEV,Acarospora evoluta
PLFL4,ACFL5,ACFL5,Acarospora flava
ACFU2,,ACFU2,Acarospora fuscata
ACFU3,,ACFU3,Acarospora fuscescens
ACGA2,,ACGA2,Acarospora gallica
ACGE4,,ACGE4,Acarospora geogena
ACGE4,ACGE6,ACGE6,Acarospora geophila
ACGL2,,ACGL2,Acarospora glaucocarpa
ACOL,ACGL3,ACGL3,Acarospora glebosa
ACHA3,,ACHA3,Acarospora hassei
ACHE6,,ACHE6,Acarospora heppii
ACHE7,,ACHE7,Acarospora heufleriana
ACHI6,,ACHI6,Acarospora hilaris
ACIM2,,ACIM2,Acarospora immersa
ACIM3,,ACIM3,Acarospora impressula
PLCH4,ACIN9,ACIN9,Acarospora incertula
ACIN5,,ACIN5,Acarospora instrata
ACSC5,ACIN10,ACIN10,Acarospora intercedens
ACIN6,,ACIN6,Acarospora interjecta
ACIN7,,ACIN7,Acarospora interposita
ACIN8,,ACIN8,Acarospora interspersa
POLA18,ACLA7,ACLA7,Acarospora lapponica
ACMA10,,ACMA10,Acarospora macrospora
ACMO6,,ACMO6,Acarospora molybdina
ACRU5,ACMO7,ACMO7,Acarospora montana
ACNE7,,ACNE7,Acarospora nevadensis
ACNI6,,ACNI6,Acarospora nigromarginata
ACNI7,,ACNI7,Acarospora nitida
ACNO6,,ACNO6,Acarospora nodulosa
ACNON,,ACNON,Acarospora nodulosa var. nodulosa
ACRE7,ACNOR,ACNOR,Acarospora nodulosa var. reagens
PLCH4,ACNO3,ACNO3,Acarospora novomexicana
ACOB4,,ACOB4,Acarospora obnubila
ACOB5,,ACOB5,Acarospora obpallens
ACCO11,ACOB6,ACOB6,Acarospora obscura
ACSC5,ACOC2,ACOC2,Acarospora ocellata
ACOL,,ACOL,Acarospora oligospora
PLFL4,ACOX2,ACOX2,Acarospora oxytona
ACPA7,,ACPA7,Acarospora particularis
ACPE6,,ACPE6,Acarospora peliscypha
ACPE7,,ACPE7,Acarospora peltastica
ACPY2,,ACPY2,Acarospora pyrenopsoides
ACRA4,,ACRA4,Acarospora radicata
ACRE7,,ACRE7,Acarospora reagens
ACSC5,ACRH2,ACRH2,Acarospora rhabarbarina
ACSC5,ACRI5,ACRI5,Acarospora rimulosa
ACSC5,ACRU6,ACRU6,Acarospora rubicunda
ACSM2,ACRU7,ACRU7,Acarospora rufescens
ACRU5,,ACRU5,Acarospora rugulosa
ACSA6,,ACSA6,Acarospora saepincola
GLSC,ACSA7,ACSA7,Acarospora saxicola
GLSC,ACSC7,ACSC7,Acarospora scabra
ACSC4,,ACSC4,Acarospora scabrida
ACSC5,,ACSC5,Acarospora schleicheri
ACSC6,,ACSC6,Acarospora scotica
ACSI4,,ACSI4,Acarospora sinopica
ACSM2,,ACSM2,Acarospora smaragdula
ACSO2,,ACSO2,Acarospora socialis
ACSP6,,ACSP6,Acarospora sparsa
ACFU2,ACSQ2,ACSQ2,Acarospora squamulosa
ACMA10,ACSQ,ACSQ,Acarospora squamulosa
ACST2,,ACST2,Acarospora stapfiana
LEST10,ACST4,ACST4,Acarospora stenospora
ACST3,,ACST3,Acarospora strigata
ACSC5,ACSU7,ACSU7,Acarospora subalbida
ACSC5,ACSU8,ACSU8,Acarospora subcontigua
POLA18,ACSU4,ACSU4,Acarospora subfuscescens
ACSU5,,ACSU5,Acarospora succedens
ACSU6,,ACSU6,Acarospora superfusa
ACTE5,,ACTE5,Acarospora tenebrica
ACTE6,,ACTE6,Acarospora terricola
PLCH4,ACTE7,ACTE7,Acarospora texana
ACTH4,,ACTH4,Acarospora thamnina
ACTH5,,ACTH5,Acarospora thelococcoides
ACTH6,,ACTH6,Acarospora thermophila
ACTO4,,ACTO4,Acarospora tongleti
ACTU2,,ACTU2,Acarospora tucsonensis
ACUT,,ACUT,Acarospora utahensis
ACTO4,ACVA3,ACVA3,Acarospora variegata
ACVE4,,ACVE4,Acarospora veronensis
ACWA2,,ACWA2,Acarospora washingtonensis
PLCH4,ACWE2,ACWE2,Acarospora weldensis
ACSC5,ACXA2,ACXA2,Acarospora xanthophana
ACAUL,,ACAUL,Acaulon
LOIM,ACME5,ACME5,Acaulon megalosporum
ACMU5,,ACMU5,Acaulon muticum
ACMUM,,ACMUM,Acaulon muticum var. muticum
ACMUR,,ACMUR,Acaulon muticum var. rufescens
ACMUM,ACRU8,ACRU8,Acaulon rubrum
ACMUR,ACRU9,ACRU9,Acaulon rufescens
LOIM,ACRU10,ACRU10,Acaulon runyoni
ACSC8,,ACSC8,Acaulon schimperianum
ACTR4,,ACTR4,Acaulon triquetrum
ACER,,ACER,Acer
ACFL,ACBA3,ACBA3,Acer barbatum
ACRU,ACBA2,ACBA2,Acer barbatum
ACFL,ACBAL,ACBAL,Acer barbatum var. longii
ACFL,ACBAV,ACBAV,Acer barbatum var. villipes
ACGRS,ACBR,ACBR,Acer brachypterum
ACBU4,,ACBU4,Acer buergerianum
ACCA5,,ACCA5,Acer campestre
ACRUT,ACCA9,ACCA9,Acer carolinianum
ACCI,,ACCI,Acer circinatum
ACCI5,,ACCI5,Acer cissifolium
ACSA2,ACDA2,ACDA2,Acer dasycarpum
ACDI12,,ACDI12,Acer diabolicum
ACGLD3,ACDI,ACDI,Acer diffusum
ACGLD4,ACDO,ACDO,Acer douglasii
ACRUD,ACDR,ACDR,Acer drummondii
ACFL,,ACFL,Acer floridanum
ACFL,ACFLL,ACFLL,Acer floridanum var. longii
ACFL,ACFLV,ACFLV,Acer floridanum var. villipes
ACGI,,ACGI,Acer ginnala
ACGL,,ACGL,Acer glabrum
ACGLD3,ACGLD,ACGLD,Acer glabrum ssp. diffusum
ACGLD4,ACGLD2,ACGLD2,Acer glabrum ssp. douglasii
ACGLN2,ACGLN,ACGLN,Acer glabrum ssp. neomexicanum
ACGLT2,ACGLT,ACGLT,Acer glabrum ssp. torreyi
ACGLD3,,ACGLD3,Acer glabrum var. diffusum
ACGLD4,,ACGLD4,Acer glabrum var. douglasii
ACGLG2,,ACGLG2,Acer glabrum var. glabrum
ACGLG,,ACGLG,Acer glabrum var. greenei
ACGLN2,,ACGLN2,Acer glabrum var. neomexicanum
ACGLN2,ACGLP,ACGLP,Acer glabrum var. parviflorum
ACGLT2,,ACGLT2,Acer glabrum var. torreyi
ACGLG2,ACGLT3,ACGLT3,Acer glabrum var. tripartitum
ACGLG2,ACGLT4,ACGLT4,Acer glabrum var. typicum
ACGR3,,ACGR3,Acer grandidentatum
ACGRS,ACGRB,ACGRB,Acer grandidentatum var. brachypterum
ACGRG,,ACGRG,Acer grandidentatum var. grandidentatum
ACGRS,,ACGRS,Acer grandidentatum var. sinuosum
ACGR14,,ACGR14,Acer griseum
ACNEI2,ACIN3,ACIN3,Acer interius
ACJA2,,ACJA2,Acer japonicum
ACLE,,ACLE,Acer leucoderme
ACLE2,,ACLE2,Acer leucoderme × saccharum
ACMA3,,ACMA3,Acer macrophyllum
ACNE2,,ACNE2,Acer negundo
ACNEC2,ACNEC,ACNEC,Acer negundo ssp. californicum
ACNEI2,ACNEI,ACNEI,Acer negundo ssp. interius
ACNET,ACNEL,ACNEL,Acer negundo ssp. latifolium
ACNEA,,ACNEA,Acer negundo var. arizonicum
ACNEC2,,ACNEC2,Acer negundo var. californicum
ACNEI2,,ACNEI2,Acer negundo var. interius
ACNEN,,ACNEN,Acer negundo var. negundo
ACNET,,ACNET,Acer negundo var. texanum
ACNEN,ACNEV2,ACNEV2,Acer negundo var. variegatum
ACNEV,,ACNEV,Acer negundo var. violaceum
ACGLN2,ACNE6,ACNE6,Acer neomexicanum
ACNI5,,ACNI5,Acer nigrum
ACFL,ACNIF,ACNIF,Acer nigrum var. floridanum
ACSAS,ACNIG,ACNIG,Acer nigrum var. glaucum
ACLE,ACNIL,ACNIL,Acer nigrum var. leucoderme
ACNI5,ACNIP,ACNIP,Acer nigrum var. palmeri
ACSAS,ACNIS2,ACNIS2,Acer nigrum var. saccharophorum
ACOPO,ACOB7,ACOB7,Acer obtusatum
ACOP3,,ACOP3,Acer opalus
ACOPO,,ACOPO,Acer opalus ssp. obtusatum
ACPA2,,ACPA2,Acer palmatum
ACPE,,ACPE,Acer pensylvanicum
ACPL,,ACPL,Acer platanoides
ACPL,ACPLS,ACPLS,Acer platanoides var. schwedleri
ACPS,,ACPS,Acer pseudoplatanus
ACRU,,ACRU,Acer rubrum
ACRUD,ACRUD2,ACRUD2,Acer rubrum ssp. drummondii
ACRUD,,ACRUD,Acer rubrum var. drummondii
ACRUR,,ACRUR,Acer rubrum var. rubrum
ACRUR,ACRUT2,ACRUT2,Acer rubrum var. tomentosum
ACRUT,ACRUT3,ACRUT3,Acer rubrum var. tridens
ACRUT,,ACRUT,Acer rubrum var. trilobum
ACSA2,,ACSA2,Acer saccharinum
ACFL,ACSAF2,ACSAF2,Acer saccharinum var. floridanum
ACSA2,ACSAL3,ACSAL3,Acer saccharinum var. laciniatum
ACSA2,ACSAW,ACSAW,Acer saccharinum var. wieri
ACSA3,,ACSA3,Acer saccharum
ACGRS,ACSAB,ACSAB,Acer saccharum ssp. brachypterum
ACFL,ACSAF,ACSAF,Acer saccharum ssp. floridanum
ACGRG,ACSAG2,ACSAG2,Acer saccharum ssp. grandidentatum
ACLE,ACSAL,ACSAL,Acer saccharum ssp. leucoderme
ACNI5,ACSAN,ACSAN,Acer saccharum ssp. nigrum
ACSAS2,ACSAO,ACSAO,Acer saccharum ssp. ozarkense
ACSAS2,ACSAS4,ACSAS4,Acer saccharum ssp. schneckii
ACFL,ACSAF3,ACSAF3,Acer saccharum var. floridanum
ACSAS,ACSAG,ACSAG,Acer saccharum var. glaucum
ACGRG,ACSAG3,ACSAG3,Acer saccharum var. grandidentatum
ACLE,ACSAL2,ACSAL2,Acer saccharum var. leucoderme
ACNI5,ACSAN2,ACSAN2,Acer saccharum var. nigrum
ACSAS,ACSAR,ACSAR,Acer saccharum var. rugellii
ACSAS,,ACSAS,Acer saccharum var. saccharum
ACSAS2,,ACSAS2,Acer saccharum var. schneckii
ACGRS,ACSAS3,ACSAS3,Acer saccharum var. sinuosum
ACNI5,ACSAV,ACSAV,Acer saccharum var. viride
ACGRS,ACSI3,ACSI3,Acer sinuosum
ACSP2,,ACSP2,Acer spicatum
ACRUR,ACST,ACST,Acer stenocarpum
ACTA80,,ACTA80,Acer tataricum
ACGI,ACTAG,ACTAG,Acer tataricum ssp. ginnala
ACTAT2,,ACTAT2,Acer tataricum var. torminaloides
ACGLT2,ACTO2,ACTO2,Acer torreyi
ACGLG2,ACTR3,ACTR3,Acer tripartitum
ACFR,,ACFR,Acer ×freemanii
ACLE2,ACSE12,ACSE12,Acer ×senecaense
ASST,ACAN6,ACAN6,Acerates angustifolia
ASEN,ACAU5,ACAU5,Acerates auriculata
ASLO,ACDE7,ACDE7,Acerates delticola
ASLO,ACFL4,ACFL4,Acerates floridana
ASHI,ACHI5,ACHI5,Acerates hirtella
ASLA3,ACLA4,ACLA4,Acerates lanuginosa
ASLO,ACLO5,ACLO5,Acerates longifolia
ASVI,ACVI4,ACVI4,Acerates viridiflora
ASVI,ACVII,ACVII,Acerates viridiflora var. ivesii
ASVI,ACVIL,ACVIL,Acerates viridiflora var. linearis
RUACA2,ACAL8,ACAL8,Acetosa alpestris
RULA9,ACALL,ACALL,Acetosa alpestris ssp. lapponica
RUPAG2,ACGR7,ACGR7,Acetosa gracilescens
RULA9,ACLA13,ACLA13,Acetosa lapponica
RUOB,ACOB3,ACOB3,Acetosa oblongifolia
RUACA2,ACPRA,ACPRA,Acetosa pratensis ssp. alpestris
RUAC3,ACAC5,ACAC5,Acetosella acetosella
OXCO,ACCO7,ACCO7,Acetosella corniculata
RUGR2,ACGR6,ACGR6,Acetosella graminifolia
RUPAP,ACPA6,ACPA6,Acetosella paucifolia
RUAC3,ACTE3,ACTE3,Acetosella tenuifolia
RUAC3,ACVU,ACVU,Acetosella vulgaris
ERVE13,ACCH3,ACCH3,Achaetogeron chihuahuensis
ERVE13,ACVE7,ACVE7,Achaetogeron versicolor
ACHIL,,ACHIL,Achillea
ACAE2,,ACAE2,Achillea aegyptiaca
ACAG,,ACAG,Achillea ageratifolia
ACAG3,,ACAG3,Achillea ageratum
ACMIA,ACAL11,ACAL11,Achillea alpicola
ACAL17,,ACAL17,Achillea alpina
ACMIO,ACAN7,ACAN7,Achillea angustissima
ACMIA2,ACAR6,ACAR6,Achillea arenicola
ACMIO,ACAS2,ACAS2,Achillea aspleniifolia
ACBI6,,ACBI6,Achillea biserrata
ACMIB,ACBO,ACBO,Achillea borealis
ACMIA2,ACBOA,ACBOA,Achillea borealis ssp. arenicola
ACMIC,ACBOC,ACBOC,Achillea borealis ssp. californica
ACMIB,ACBOT,ACBOT,Achillea borealis ssp. typica
ACMIA2,ACBOA2,ACBOA2,Achillea borealis var. arenicola
ACMIC,ACBOC2,ACBOC2,Achillea borealis var. californica
ACMIC,ACCA7,ACCA7,Achillea californica
ACCA29,,ACCA29,Achillea cartilaginea
ACCH6,,ACCH6,Achillea chrysocoma
ACCL3,,ACCL3,Achillea clavennae
ACCL4,,ACCL4,Achillea clusiana
ACCL5,,ACCL5,Achillea clypeolata
ACCO19,,ACCO19,Achillea collina
ACCO20,,ACCO20,Achillea conferta
ACCR3,,ACCR3,Achillea crithmifolia
ACDI6,ACDE10,ACDE10,Achillea dentifera
ACDI6,,ACDI6,Achillea distans
ACDIT,,ACDIT,Achillea distans ssp. tanacetifolia
ACMIO,ACER2,ACER2,Achillea eradiata
ACER7,,ACER7,Achillea erba-rotta
ACERR,,ACERR,Achillea erba-rotta ssp. rupestris
ACFI,,ACFI,Achillea filipendulina
ACMIA,ACFU,ACFU,Achillea fusca
ACMIG,ACGI2,ACGI2,Achillea gigantea
ACMIO,ACGR5,ACGR5,Achillea gracilis
ACGR12,,ACGR12,Achillea grandifolia
ACIM6,,ACIM6,Achillea impatiens
ACMIO,ACLA5,ACLA5,Achillea lanulosa
ACMIA,ACLAA,ACLAA,Achillea lanulosa ssp. alpicola
ACMIO,ACLAT,ACLAT,Achillea lanulosa ssp. typica
ACMIA,ACLAA2,ACLAA2,Achillea lanulosa var. alpicola
ACMIO,ACLAA3,ACLAA3,Achillea lanulosa var. arachnoidea
ACMIO,ACLAE,ACLAE,Achillea lanulosa var. eradiata
ACMIO,ACLA3,ACLA3,Achillea laxiflora
ACLI2,,ACLI2,Achillea ligustica
ACLI7,,ACLI7,Achillea lingulata
ACMA15,,ACMA15,Achillea macrocephala
ACMA13,,ACMA13,Achillea macrophylla
ACMIM2,ACMA14,ACMA14,Achillea magna
ACMI2,,ACMI2,Achillea millefolium
ACMIB,ACMIA3,ACMIA3,Achillea millefolium ssp. atrotegula
ACMIB,ACMIB2,ACMIB2,Achillea millefolium ssp. borealis
ACMIO,ACMIL,ACMIL,Achillea millefolium ssp. lanulosa
ACMIO,ACMIO2,ACMIO2,Achillea millefolium ssp. occidentalis
ACMIO,ACMIP5,ACMIP5,Achillea millefolium ssp. pallidotegula
ACMIA,,ACMIA,Achillea millefolium var. alpicola
ACMIA2,,ACMIA2,Achillea millefolium var. arenicola
ACMIO,ACMIA4,ACMIA4,Achillea millefolium var. aspleniifolia
ACMIB,,ACMIB,Achillea millefolium var. borealis
ACMIC,,ACMIC,Achillea millefolium var. californica
ACMIB,ACMIF2,ACMIF2,Achillea millefolium var. fulva
ACMIA,ACMIF,ACMIF,Achillea millefolium var. fusca
ACMIG,,ACMIG,Achillea millefolium var. gigantea
ACMIO,ACMIG2,ACMIG2,Achillea millefolium var. gracilis
ACMIO,ACMIL3,ACMIL3,Achillea millefolium var. lanulosa
ACMIL2,,ACMIL2,Achillea millefolium var. litoralis
ACMIA2,ACMIM4,ACMIM4,Achillea millefolium var. maritima
ACMIM5,,ACMIM5,Achillea millefolium var. megacephala
ACMIM2,,ACMIM2,Achillea millefolium var. millefolium
ACMIN,,ACMIN,Achillea millefolium var. nigrescens
ACMIO,,ACMIO,Achillea millefolium var. occidentalis
ACMIP,,ACMIP,Achillea millefolium var. pacifica
ACMIB,ACMIP3,ACMIP3,Achillea millefolium var. parviligula
ACMIB,ACMIP4,ACMIP4,Achillea millefolium var. parvula
ACMIP2,,ACMIP2,Achillea millefolium var. puberula
ACMIO,ACMIR,ACMIR,Achillea millefolium var. rosea
ACMIO,ACMIR2,ACMIR2,Achillea millefolium var. russeolata
ACSI,ACMU3,ACMU3,Achillea multiflora
ACMIN,ACNI4,ACNI4,Achillea nigrescens
ACNO,,ACNO,Achillea nobilis
ACMIO,ACOC,ACOC,Achillea occidentalis
ACOD2,,ACOD2,Achillea odorata
ACMIP,ACPA5,ACPA5,Achillea pacifica
ACPA11,,ACPA11,Achillea pannonica
ACPT,,ACPT,Achillea ptarmica
ACMA15,ACPTM,ACPTM,Achillea ptarmica ssp. macrocephala
ACMIP2,ACPU2,ACPU2,Achillea puberula
ACPY5,,ACPY5,Achillea pyrenaica
ACMIO,ACRO4,ACRO4,Achillea rosea
ACERR,ACRU13,ACRU13,Achillea rupestris
ACSE10,,ACSE10,Achillea setacea
ACSI,,ACSI,Achillea sibirica
ACMIA,ACSU3,ACSU3,Achillea subalpina
ACDIT,ACTA2,ACTA2,Achillea tanacetifolia
ACAE2,ACTA3,ACTA3,Achillea taygetea
ACMIO,ACTO3,ACTO3,Achillea tomentosa
ACUM,,ACUM,Achillea umbellata
ACHLY,,ACHLY,Achlys
ACCA6,,ACCA6,Achlys californica
ACTR,,ACTR,Achlys triphylla
ACTR,ACTRT,ACTRT,Achlys triphylla ssp. triphylla
ACHNA,,ACHNA,Achnatherum
ACAR14,,ACAR14,Achnatherum aridum
ACBR5,,ACBR5,Achnatherum brachychaetum
ACBR6,,ACBR6,Achnatherum bromoides
ACCA30,,ACCA30,Achnatherum calamagrostis
ACCA34,,ACCA34,Achnatherum capense
ACCA36,,ACCA36,Achnatherum caragana
ACCA31,,ACCA31,Achnatherum caudatum
ACCL7,,ACCL7,Achnatherum clandestinum
ACCO22,,ACCO22,Achnatherum contractum
ACCO21,,ACCO21,Achnatherum coronatum
ACCU6,,ACCU6,Achnatherum curvifolium
ACDI10,,ACDI10,Achnatherum diegoense
ACEM4,,ACEM4,Achnatherum eminens
ACHE10,,ACHE10,Achnatherum hendersonii
ACHY,,ACHY,Achnatherum hymenoides
ACLA8,,ACLA8,Achnatherum latiglume
ACLE8,,ACLE8,Achnatherum lemmonii
ACLEL,ACLEL2,ACLEL2,Achnatherum lemmonii ssp. lemmonii
ACLEP,ACLEP2,ACLEP2,Achnatherum lemmonii ssp. pubescens
ACLEL,,ACLEL,Achnatherum lemmonii var. lemmonii
ACLEP,,ACLEP,Achnatherum lemmonii var. pubescens
ACLE9,,ACLE9,Achnatherum lettermanii
ACLO7,,ACLO7,Achnatherum lobatum
ACNE9,,ACNE9,Achnatherum nelsonii
ACNED,,ACNED,Achnatherum nelsonii ssp. dorei
ACOCC,ACNEL2,ACNEL2,Achnatherum nelsonii ssp. longiaristatum
ACNEN2,,ACNEN2,Achnatherum nelsonii ssp. nelsonii
ACNED,ACNED2,ACNED2,Achnatherum nelsonii var. dorei
ACNE10,,ACNE10,Achnatherum nevadense
ACOC3,,ACOC3,Achnatherum occidentale
ACOCC,,ACOCC,Achnatherum occidentale ssp. californicum
ACOCO,,ACOCO,Achnatherum occidentale ssp. occidentale
ACOCP,,ACOCP,Achnatherum occidentale ssp. pubescens
JAPL,ACPA12,ACPA12,Achnatherum papposum
ACPA13,,ACPA13,Achnatherum parishii
ACPAD,,ACPAD,Achnatherum parishii var. depauperatum
ACPAP,,ACPAP,Achnatherum parishii var. parishii
ACPE12,,ACPE12,Achnatherum pekinense
ACPE13,,ACPE13,Achnatherum perplexum
ACPI2,,ACPI2,Achnatherum pinetorum
ACRI8,,ACRI8,Achnatherum richardsonii
ACRO7,,ACRO7,Achnatherum robustum
ACSC11,,ACSC11,Achnatherum scribneri
ACSP12,,ACSP12,Achnatherum speciosum
ACSP8,,ACSP8,Achnatherum splendens
ACST7,,ACST7,Achnatherum stillmanii
ACSW3,,ACSW3,Achnatherum swallenii
ACTH7,,ACTH7,Achnatherum thurberianum
ACWA,,ACWA,Achnatherum wallowaense
ACWA,ACWA4,ACWA4,Achnatherum wallowaensis
ACWE3,,ACWE3,Achnatherum webberi
ACBL,,ACBL,Achnatherum ×bloomeri
MAJAE,ACEM3,ACEM3,Achras emarginata
MAZA,ACMA8,ACMA8,Achras mammosa
MAZA,ACZA2,ACZA2,Achras zapota
SMBOK,ACKO3,ACKO3,Achroschizocarpus kolianus
ACHYR,,ACHYR,Achyrachaena
ACMO2,,ACMO2,Achyrachaena mollis
ACHYR2,,ACHYR2,Achyranthes
CHAL10,ACAL4,ACAL4,Achyranthes altissima
ACAS,,ACAS,Achyranthes aspera
ACASA,,ACASA,Achyranthes aspera var. aspera
ACASP,,ACASP,Achyranthes aspera var. pubescens
ACSPA2,ACAT,ACAT,Achyranthes atollensis
ALBE,ACBE3,ACBE3,Achyranthes bettzichiana
ACBI9,,ACBI9,Achyranthes bidentata
ALBR5,ACBR2,ACBR2,Achyranthes brasiliana
ACAS,ACCA37,ACCA37,Achyranthes canescens
