"Scientific.Name","AGCP","AW","CB","EMP","GP","HI","MW","NCNE","WMVC","AK","other"
"Collinsia grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsia greenei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsia heterophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsia linearis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsia multicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsia parryi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsia parviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsia parvula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsia rattanii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsia sparsiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsia torreyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsia violacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsonia serotina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsonia tuberosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collinsonia verticillata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collomia debilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collomia diversifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collomia grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collomia heterophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collomia larsenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collomia macrocalyx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collomia mazama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collomia renacta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collomia tenella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collomia tinctoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collomia tracyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cologania angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cologania obovata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cologania pallida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cologania pulchella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colophospermum mopane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colubrina arborescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colubrina californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colubrina cubensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colubrina elliptica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colubrina glandulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colubrina greggii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colubrina oppositifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colubrina stricta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colubrina texensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colubrina verrucosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Columbia burreti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Columbiadoria hallii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Columnea ambigua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Columnea scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colutea arborescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colutea istria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Colutea ×media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Comarostaphylis diversifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Combretum hereroense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Combretum imberbe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Combretum obovatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Combretum paniculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Combretum tetralophum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Commelina coelestis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Commelina dianthifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Commelina forskaolii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Commelina latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Commelina tuberosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Commiphora habessinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Commiphora opobalsamum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Comocladia cuneata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Comocladia dentata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Comocladia dodonaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Comparettia falcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Comptonia peregrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conardia compacta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Condalia correllii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Condalia ericoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Condalia globosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Condalia hookeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Condalia mexicana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Condalia spathulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Condalia velutina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Condalia viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Condalia warnockii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Condylidium iresinoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Congea tomentosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conicosia pugioniformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conimitella williamsii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conioselinum mexicanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Connarus semidecandrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conopholis alpina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conopholis americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conradina canescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conradina etonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conradina glabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conradina grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conringia orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Consolea corallicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Consolea moniliformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Consolea rubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Consolida ajacis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Consolida orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Consolida pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Consolida regalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Consolida tenuissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Constancea nevinii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Convallaria majalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Convallaria majuscula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Convolvulus althaeoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Convolvulus arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Convolvulus erubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Convolvulus nodiflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Convolvulus pilosellifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Convolvulus scammonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Convolvulus tricolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Convolvulus wallichianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conyza floribunda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conyza laevigata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conyza primulifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Conyza ramosissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cooperia jonesii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cooperia pedunculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cooperia smallii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cooperia traubii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Copaifera langsdorffii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Copaifera multijuga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Copaifera officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Copernicia alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Copernicia prunifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coprosma cymosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coprosma menziesii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coprosma ×molokaiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coprosma montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coprosma repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coprosma rhynchocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coprosma ternata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coprosma waimeae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coptis occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corallorhiza bentleyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corallorhiza mertensiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corallorhiza odontorhiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corchorus capsularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corchorus hirsutus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corchorus hirtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corchorus olitorius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corchorus torresianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corchorus tridens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corchorus trilocularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia alliodora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia bahamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia boissieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia collococca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia curassavica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia gerascanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia globosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia laevigata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia myxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia obliqua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia parvifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia podocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia polycephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia rickseckeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia rupicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia sinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordia sulcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordyla africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordylanthus capitatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordylanthus kingii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordylanthus laxiflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordylanthus nevinii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordylanthus nidularius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordylanthus orcuttianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordylanthus parviflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordylanthus pilosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordylanthus pringlei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordylanthus rigidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordylanthus tenuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordylanthus wrightii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordyline australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cordyline banksii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corema conradii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreocarpus arizonicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis auriculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis basalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis bigelovii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis calliopsidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis delphiniifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis douglasii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis gigantea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis hamiltonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis latifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis major",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis nuecensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis nuecensoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis palmata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis palustris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis pulchra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis stillmanii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis verticillata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coreopsis wrightii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corethrogyne filaginifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coriandrum sativum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corispermum hookeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corispermum navicula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corispermum nitidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corispermum ochotense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corispermum pacificum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corispermum pallasii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corispermum pallidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corispermum villosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus ×acadiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus ×arnoldiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus capitata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus controversa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus ×friedlanderi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus ×intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus kousa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus macrophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus mas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus paucinervis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus rugosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus sanguinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus ×slavinii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornus unalaschkensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornutia grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornutia grandifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cornutia pyramidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coronilla coronata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coronilla emerus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coronilla juncea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coronilla minima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coronilla repanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coronilla scorpioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coronilla vaginalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coronilla valentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coronopus didymus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coronopus squamatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Correa backhousiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corrigiola litoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corsinia coriandrina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cortaderia araucana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cortaderia rudiuscula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cortaderia toetoe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corticifraga fuckelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corydalis aurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corydalis capnoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corydalis crystallina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corydalis curvisiliqua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corydalis micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corydalis sempervirens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corydalis solida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corylopsis sinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corylus colurna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corylus ferox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corylus heterophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corylus maxima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia calophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia dichromophloia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia eximia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia ficifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia gummifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia leichhardtii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia nesophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia papuana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia polycarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia setosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia terminalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia tessellaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymbia zygophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corymborkis forcipigera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corynephorus canescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corynephorus fasciculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Corynocarpus laevigatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coryphantha echinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coryphantha macromeris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coryphantha nickelsiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coryphantha octacantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coryphantha ramillosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coryphantha recurvata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coryphantha robustispina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coryphantha scolymoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coryphantha sulcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Coryphantha villarensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cosmos caudatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Costus pulverulentus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Costus villosissimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotinus coggygria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotinus obovatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster acuminatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster acutifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster adpressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster allochrous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster ambiguus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster amoenus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster apiculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster bacillaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster bullatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster buxifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster calocarpus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster ×crispii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster dammeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster dielsianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster divaricatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster foveolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster franchetii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster frigidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster glaucophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster harrovianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster harrysmithii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster hebephyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster henryanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster hissaricus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster horizontalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster hupehensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster ignavus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster insignis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster integerrimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster karatavicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster lacteus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Cotoneaster lucidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
